;Equipe;Jogador;Jogos;Passe certo;Finalização certa;Desarme certo;Cruzamento certo;Interceptação certa;Dribles;Virada de jogo certa;Gols;Assistência gol;Assistência finalização;Defesa;Defesa difícil;Rebatida;Falta cometida;Falta recebida;Impedimentos;Pênaltis sofridos;Pênaltis cometidos;Perda da posse de bola;Cartão amarelo;Cartão vermelho
370;atletico-mg;Paulo Vitor;1;15;0;0;0;1;0;0;0;0;0;0;0;0;2;1;0;0;0;1;0;0
371;palmeiras;Manuel López;2;15;3;2;0;0;0;2;1;0;0;0;0;2;5;0;0;0;0;5;1;0
372;goias;Alesson;2;15;0;3;1;0;2;0;0;0;2;0;0;0;0;2;0;0;0;2;0;0
373;bahia;Cicinho;1;15;0;1;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;2;1;0
374;flamengo;Igor Jesus;1;14;0;1;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0
375;fluminense;David Braz;2;14;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;1;0;0
376;goias;Guilherme;3;14;0;1;0;1;0;1;0;0;1;0;0;2;2;0;0;0;0;4;0;0
377;cruzeiro;Matheus Jussa;1;14;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
378;internacional;Lucca;4;14;0;1;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;5;1;0
379;gremio;Darlan;1;14;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
380;corinthians;Pedrinho;2;13;2;0;0;0;0;0;0;0;0;0;0;0;2;4;2;0;0;5;0;0
381;sao-paulo;Juan;2;13;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;4;0;0
382;atletico-mg;Igor Gomes;1;13;0;1;0;1;0;0;0;0;0;1;0;1;1;0;1;0;0;2;0;0
383;santos;Miguelito;2;13;0;0;1;1;0;0;0;0;2;0;0;0;0;1;0;0;0;2;0;0
384;palmeiras;Endrick;4;13;2;1;0;0;5;1;2;0;0;1;0;0;12;3;0;0;0;12;1;0
385;goias;Dodô;2;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
386;cruzeiro;Wallisson Luiz;2;13;0;1;0;0;1;1;0;0;2;0;0;0;0;2;0;0;0;2;0;0
387;botafogo;Gustavo Sauer;1;12;0;0;0;0;2;1;0;0;0;0;0;0;2;0;1;0;0;1;0;0
388;coritiba;Matheus Bianqui;2;12;0;1;0;1;0;0;0;0;0;1;0;0;2;1;0;0;0;0;1;0
389;coritiba;Marcelino Moreno;2;12;0;0;1;0;1;0;0;0;2;0;0;0;0;4;0;0;0;2;0;0
390;vasco;Erick Marcus;2;12;2;1;1;1;1;0;1;0;0;0;0;0;1;1;0;0;0;6;0;0
391;internacional;Jean Dias;3;12;0;0;0;1;0;0;0;1;0;0;0;0;3;4;0;0;0;3;0;0
392;fortaleza;Brayan Ceballos;1;12;0;1;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0
393;fortaleza;Lucero;1;12;0;2;0;0;0;0;0;0;3;0;0;0;1;1;0;0;0;0;0;0
394;botafogo;Matheus Nascimento;1;11;1;0;0;0;0;0;1;0;1;0;0;0;1;2;0;0;0;1;0;0
395;palmeiras;Breno Lopes;2;11;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;2;0;0
396;cuiaba;Fernando Sobral;2;11;0;4;1;0;1;0;0;0;0;0;0;2;3;2;0;0;0;2;0;0
397;botafogo;Daniel Borges;1;10;1;3;0;1;0;0;0;0;0;0;0;3;2;1;0;0;0;1;0;0
398;corinthians;Guilherme Biro;1;10;1;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0
399;cruzeiro;Stênio;1;10;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0
400;gremio;Adriel;1;10;0;0;0;0;0;0;0;0;0;3;1;3;0;0;0;0;0;0;0;0
401;america-mg;Mateus Gonçalves;1;10;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;5;1;0
402;america-mg;Mikael;3;10;1;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;6;0;0
